Comment,Designator,Footprint,LCSC Part #,Quantity,Manufacturer,Manufacturer Part #,Assembly,Notes
ESP32-C3-MINI-1-N4,U1,SMD 13.2x16.6 mm,C2838502,1,Espressif,ESP32-C3-MINI-1-N4,SMT,
ML307A-DSLN,U2,LGA-94 17.7x15.8 mm,C5375091,1,China Mobile IoT,ML307A-DSLN,SMT,Alternative: ML307A-DCLN / C5362285. Do not fit ML307C/Y on this PCB revision.
SY8205FCC,U3,SOIC-8-EP,C111875,1,Silergy,SY8205FCC,SMT,
AP2112K-3.3,U4,SOT-23-5,C51118,1,Diodes Incorporated,AP2112K-3.3TRG1,SMT,
TXU0202,U5,VSSOP-8,C5186957,1,Texas Instruments,TXU0202DCUR,SMT,
USBLC6-2SC6,U6,SOT-23-6,C2687116,1,UMW,USBLC6-2SC6,SMT,
SRV05-4,U7,SOT-23-6,C558418,1,TECH PUBLIC,SRV05-4,SMT,
Nano SIM,J2,SMD 1.45 mm,C53200251,1,XYECONN,NANO SIM 6PIN 1.45H,SMT,
U.FL,"J3,J4",SMD,C88373,2,Hirose,U.FL-R-SMT-1(10),SMT,
2 A PTC,F1,1206,C70167,1,TECHFUSE,SL1206200,SMT,
4.7 uH,L1,7.0x6.6 mm,C5307631,1,XR,XR0630-4R7M,SMT,
220 uF 6.3 V,"C5,C6",D5xL5.3 mm,C2162607,2,Nippon Chemi-Con,APXF6R3ARA221ME61G,SMT,
22 uF 10 V,"C1,C2",0805,C45783,2,Samsung,CL21A226MPQNNNE,SMT,
47 uF 6.3 V,"C3,C4",0805,C96123,2,Samsung,CL21A476MQYNNNE,SMT,
10 uF 10 V,"C11,C12",0603,C19702,2,Samsung,CL10A106KP8NNNC,SMT,
100 nF,"C8,C13,C14,C16,C17,C18",0402,C1525,6,Samsung,CL05B104KO5NNNC,SMT,
10 nF,C9,0402,C15195,1,Samsung,CL05B103KB5NNNC,SMT,
1 uF,C10,0402,C52923,1,Samsung,CL05A105KA5NNNC,SMT,
1 uF,C15,0402,C52923,1,Samsung,CL05A105KA5NNNC,SMT,
22 pF,C7,0402,C1555,1,Samsung,CL05C220JB5NNNC,SMT,
33 pF,"C19,C20,C21,C22",0402,C1562,4,Samsung,CL05C330JB5NNNC,SMT,
536 k,R1,0402,C72998,1,UNI-ROYAL,0402WGF5363TCE,SMT,
100 k,R2,0402,C25741,1,UNI-ROYAL,0402WGF1003TCE,SMT,
10 k,"R3,R4,R6,R13",0402,C25744,4,UNI-ROYAL,0402WGF1002TCE,SMT,
4.7 k,R7,0402,C25900,1,UNI-ROYAL,0402WGF4701TCE,SMT,
100 k,"R8,R18",0402,C25741,2,UNI-ROYAL,0402WGF1003TCE,SMT,
22 R,"R9,R10,R11,R12,R16,R17",0402,C25092,6,UNI-ROYAL,0402WGF220JTCE,SMT,
0 R,"R14,R15",0402,C17168,2,UNI-ROYAL,0402WGF0000TCE,SMT,
1 k,R5,0402,C11702,1,UNI-ROYAL,0402WGF1001TCE,SMT,
SMF5.0A,D1,SOD-123FL,C1509112,1,JSCJ,SMF5.0A,SMT,
Green LED,D2,0603,C965804,1,XINGLIGHT,XL-1608UGC-04,SMT,
Tact switch,"SW1,SW2",3.0x2.5 mm SMD,C72443,2,C&K,KMR221GLFS,SMT,
