Designator,Mid X,Mid Y,Layer,Rotation
J2,117.0000mm,-85.0000mm,Bottom,180.00
U1,119.0000mm,-109.0000mm,Bottom,90.00
U6,117.0000mm,-121.0000mm,Bottom,90.00
U7,127.0000mm,-84.0000mm,Bottom,90.00
C1,110.0000mm,-104.0000mm,Top,90.00
C2,110.0000mm,-108.0000mm,Top,90.00
C3,109.5000mm,-88.5000mm,Top,90.00
C4,109.5000mm,-92.5000mm,Top,90.00
C5,102.5000mm,-67.5000mm,Top,90.00
C6,102.5000mm,-75.5000mm,Top,90.00
C7,109.0000mm,-100.0000mm,Top,0.00
C8,100.8000mm,-100.0000mm,Top,0.00
C9,108.0000mm,-108.0000mm,Top,0.00
C10,108.0000mm,-105.0000mm,Top,0.00
C11,126.0000mm,-116.0000mm,Top,90.00
C12,132.0000mm,-118.5000mm,Top,90.00
C13,126.0000mm,-119.0000mm,Top,90.00
C14,132.0000mm,-121.5000mm,Top,90.00
C15,109.0000mm,-115.0000mm,Top,0.00
C16,130.0000mm,-75.0000mm,Top,0.00
C17,132.0000mm,-75.0000mm,Top,0.00
C18,130.0000mm,-61.0000mm,Top,0.00
C19,122.0000mm,-88.0000mm,Top,90.00
C20,124.0000mm,-88.0000mm,Top,90.00
C21,126.0000mm,-88.0000mm,Top,90.00
C22,128.0000mm,-88.0000mm,Top,90.00
D1,133.0000mm,-127.0000mm,Top,90.00
D2,101.0000mm,-105.5000mm,Top,90.00
F1,127.5000mm,-127.0000mm,Top,0.00
J3,110.0000mm,-53.0000mm,Top,0.00
J4,101.5000mm,-82.5000mm,Top,90.00
L1,104.5000mm,-93.0000mm,Top,90.00
R1,109.0000mm,-98.0000mm,Top,0.00
R2,112.0000mm,-98.0000mm,Top,0.00
R3,109.0000mm,-113.0000mm,Top,0.00
R4,105.0000mm,-110.0000mm,Top,0.00
R5,101.0000mm,-108.0000mm,Top,90.00
R6,130.0000mm,-77.0000mm,Top,0.00
R7,117.0000mm,-79.5000mm,Top,0.00
R8,108.0000mm,-111.0000mm,Top,0.00
R9,122.0000mm,-79.0000mm,Top,90.00
R10,124.0000mm,-79.0000mm,Top,90.00
R11,126.0000mm,-79.0000mm,Top,90.00
R12,128.0000mm,-79.0000mm,Top,90.00
R13,131.0000mm,-87.0000mm,Top,90.00
R14,110.0000mm,-57.0000mm,Top,90.00
R15,105.5000mm,-82.5000mm,Top,0.00
R16,113.0000mm,-119.0000mm,Top,90.00
R17,121.0000mm,-119.0000mm,Top,90.00
R18,132.0000mm,-77.0000mm,Top,0.00
SW1,105.0000mm,-120.0000mm,Top,90.00
SW2,100.5000mm,-120.0000mm,Top,90.00
U2,117.0000mm,-69.0000mm,Top,0.00
U3,104.5000mm,-105.0000mm,Top,180.00
U4,130.0000mm,-123.5000mm,Top,180.00
U5,130.0000mm,-72.0000mm,Top,0.00
