Ref,Val,Package,PosX,PosY,Rot,Side
"J2","NANO SIM","SIM-SMD_NANO-SIM-6PIN-1.45H",117.000000,-85.000000,180.000000,bottom
"U1","ESP32-C3-MINI-1-N4","WIFIM-SMD_ESP32-C3-MINI-1",119.000000,-109.000000,90.000000,bottom
"U6","USBLC6-2SC6","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",117.000000,-121.000000,90.000000,bottom
"U7","SRV05-4","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",127.000000,-84.000000,90.000000,bottom
"C1","22uF","C_0805_2012Metric",110.000000,-104.000000,90.000000,top
"C2","22uF","C_0805_2012Metric",110.000000,-108.000000,90.000000,top
"C3","47uF","C_0805_2012Metric",109.500000,-88.500000,90.000000,top
"C4","47uF","C_0805_2012Metric",109.500000,-92.500000,90.000000,top
"C5","220uF/6.3V","CAP-SMD_BD5.0-L5.3-W5.3-LS5.7-FD",102.500000,-67.500000,90.000000,top
"C6","220uF/6.3V","CAP-SMD_BD5.0-L5.3-W5.3-LS5.7-FD",102.500000,-75.500000,90.000000,top
"C7","22pF","C_0402_1005Metric",109.000000,-100.000000,0.000000,top
"C8","100nF","C_0402_1005Metric",100.800000,-100.000000,0.000000,top
"C9","10nF","C_0402_1005Metric",108.000000,-108.000000,0.000000,top
"C10","1uF","C_0402_1005Metric",108.000000,-105.000000,0.000000,top
"C11","10uF","C_0603_1608Metric",126.000000,-116.000000,90.000000,top
"C12","10uF","C_0603_1608Metric",132.000000,-118.500000,90.000000,top
"C13","100nF","C_0402_1005Metric",126.000000,-119.000000,90.000000,top
"C14","100nF","C_0402_1005Metric",132.000000,-121.500000,90.000000,top
"C15","1uF","C_0402_1005Metric",109.000000,-115.000000,0.000000,top
"C16","100nF","C_0402_1005Metric",130.000000,-75.000000,0.000000,top
"C17","100nF","C_0402_1005Metric",132.000000,-75.000000,0.000000,top
"C18","100nF","C_0402_1005Metric",130.000000,-61.000000,0.000000,top
"C19","33pF","C_0402_1005Metric",122.000000,-88.000000,90.000000,top
"C20","33pF","C_0402_1005Metric",124.000000,-88.000000,90.000000,top
"C21","33pF","C_0402_1005Metric",126.000000,-88.000000,90.000000,top
"C22","33pF","C_0402_1005Metric",128.000000,-88.000000,90.000000,top
"D1","SMF5.0A","D_SOD-123F",133.000000,-127.000000,90.000000,top
"D2","STATUS GREEN","LED_0603_1608Metric",101.000000,-105.500000,90.000000,top
"F1","2A PTC","F1206",127.500000,-127.000000,0.000000,top
"J3","LTE MAIN","ANT-SMD_UFL-R-SMT-1-10",110.000000,-53.000000,0.000000,top
"J4","GNSS","ANT-SMD_UFL-R-SMT-1-10",101.500000,-82.500000,90.000000,top
"L1","4.7uH 6A","IND-SMD_L7.0-W6.6",104.500000,-93.000000,90.000000,top
"R1","536k 0.1%","R_0402_1005Metric",109.000000,-98.000000,0.000000,top
"R2","100k 0.1%","R_0402_1005Metric",112.000000,-98.000000,0.000000,top
"R3","10k","R_0402_1005Metric",109.000000,-113.000000,0.000000,top
"R4","10k","R_0402_1005Metric",105.000000,-110.000000,0.000000,top
"R5","1k","R_0402_1005Metric",101.000000,-108.000000,90.000000,top
"R6","10k","R_0402_1005Metric",130.000000,-77.000000,0.000000,top
"R7","4.7k","R_0402_1005Metric",117.000000,-79.500000,0.000000,top
"R8","100k","R_0402_1005Metric",108.000000,-111.000000,0.000000,top
"R9","22R","R_0402_1005Metric",122.000000,-79.000000,90.000000,top
"R10","22R","R_0402_1005Metric",124.000000,-79.000000,90.000000,top
"R11","22R","R_0402_1005Metric",126.000000,-79.000000,90.000000,top
"R12","22R","R_0402_1005Metric",128.000000,-79.000000,90.000000,top
"R13","10k","R_0402_1005Metric",131.000000,-87.000000,90.000000,top
"R14","0R","R_0402_1005Metric",110.000000,-57.000000,90.000000,top
"R15","0R","R_0402_1005Metric",105.500000,-82.500000,0.000000,top
"R16","22R","R_0402_1005Metric",113.000000,-119.000000,90.000000,top
"R17","22R","R_0402_1005Metric",121.000000,-119.000000,90.000000,top
"R18","100k","R_0402_1005Metric",132.000000,-77.000000,0.000000,top
"SW1","RESET","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",105.000000,-120.000000,90.000000,top
"SW2","BOOT","SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS",100.500000,-120.000000,90.000000,top
"U2","ML307A-DSLN","LGA-94_L17.7-W15.8_N706-CA-01-S1",117.000000,-69.000000,0.000000,top
"U3","SY8205FCC","SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0",104.500000,-105.000000,180.000000,top
"U4","AP2112K-3.3","SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL",130.000000,-123.500000,180.000000,top
"U5","TXU0202","VSSOP-8_L2.3-W2.0-P0.50-LS3.1-BR",130.000000,-72.000000,0.000000,top
